order_day,region,category,total_orders,total_quantity,revenue,completed_orders,avg_ticket
2026-01-03,Sudeste,Tecnologia,1,1,3500.0,1,3500.0
2026-01-03,Sul,Tecnologia,1,2,240.0,1,240.0
2026-01-04,Nordeste,Tecnologia,1,2,1900.0,1,1900.0
2026-01-04,Sudeste,Moveis,1,1,890.0,0,890.0
2026-01-05,Centro-Oeste,Tecnologia,1,1,420.0,0,420.0
2026-01-05,Sudeste,Moveis,1,1,1100.0,1,1100.0
2026-01-06,Sudeste,Acessorios,1,2,190.0,0,190.0
2026-01-06,Sul,Tecnologia,1,3,630.0,1,630.0
2026-01-07,Nordeste,Acessorios,1,4,300.0,1,300.0
2026-01-07,Norte,Tecnologia,1,2,360.0,1,360.0
